filename,ocr_text,text_length
Cars109.jpg,CZI7KOD,7
Cars12.jpg,MH12BG7237,10
Cars120.jpg,B2228HM,7
Cars156.jpg,PRIVATE,7
Cars161.jpg,M666Y08,7
Cars164.jpg,GT STATE,8
Cars165.jpg,TN21AU 1153,11
Cars166.jpg,IMACAR,6
Cars178.jpg,522922,6
Cars179.jpg,CNLIFORNIE 4SZW590,18
Cars183.jpg,BRIT0001,8
Cars198.jpg,MHO1AV8866,10
Cars202.jpg,KWID,4
Cars208.jpg,V-8,3
Cars21.jpg,1RQ,3
Cars218.jpg,2525,4
Cars230.jpg,LR33 TEE,8
Cars25.jpg,BYHM-136,8
Cars254.jpg,GOTZPOO,7
Cars255.jpg,MH20EJ0364,10
Cars2572.jpg,OKLA,4
Cars260.jpg,IM405333,8
Cars265.jpg,M·771276,8
Cars2662.jpg,CU5600,6
Cars2664.jpg,20 CH 9984,10
Cars273.jpg,BRIT0001,8
Cars276.jpg,CZI7KOD,7
Cars281.jpg,MH01DB0001,10
Cars307.jpg,M906090K,8
Cars319.jpg,FALLYOU,7
Cars32.jpg,MANISA,6
Cars323.jpg,TN99F2378,9
Cars328.jpg,IMAU555,7
Cars333.jpg,MH20EJ0364,10
Cars3342.jpg,E8 OLA,6
Cars340.jpg,YXS4FYL,7
Cars342.jpg,DL7CN5617,9
Cars343.jpg,SKIPGAS,7
Cars355.jpg,OBKTP665,8
Cars370.jpg,CH01AN0001,10
Cars393.jpg,M·771276,8
Cars396.jpg,EREAP3R,7
Cars401.jpg,HR26BC5514,10
Cars415.jpg,3N HW,5
Cars416.jpg,172 TMJ,7
Cars4192.jpg,9239,4
Cars42.jpg,BYHM-136,8
Cars422.jpg,MH20EE7596,10
Cars423.jpg,P3RV P,6
Cars77.jpg,HR 26CU6799,11
Cars8.jpg,G526 JHD,8
Cars84.jpg,HR26BC5514,10
Cars85.jpg,VU63GTY,7
Cars86.jpg,MH14DX9937,10
