filename,ocr_text
Cars109.jpg,Czi7 Kod
Cars12.jpg,'HH12867237
Cars120.jpg,B2228HM
Cars156.jpg,PriV ATE
Cars161.jpg,Ms66 YOB
Cars164.jpg,c
Cars165.jpg,1453
Cars166.jpg,Ina CaR
Cars178.jpg,522*922
Cars179.jpg,45z4590|
Cars183.jpg,BRIT 0001
Cars198.jpg,MHo 14y8866
Cars202.jpg,KWiD
Cars208.jpg,V-8
Cars21.jpg,JRO
Cars218.jpg,2525
Cars230.jpg,Lr33 TEE
Cars25.jpg,BHX: 135
Cars254.jpg,GOTZPOO
Cars255.jpg,MH 20EJ 0364
Cars2572.jpg,OK LA
Cars260.jpg,IM4U 5333
Cars265.jpg,M
Cars2662.jpg,8
Cars2664.jpg,CH 998L
Cars273.jpg,BRIT 0001
Cars276.jpg,Czi7 Kod
Cars281.jpg,M0t d0 0001
Cars307.jpg,M90 60 90K
Cars319.jpg,FALLYOU
Cars32.jpg,CANISA
Cars323.jpg,TN 99F2378
Cars328.jpg,IMAU 555
Cars333.jpg,MH 20EJ 0364
Cars3342.jpg,E8 OLA
Cars340.jpg,NXSAFUL
Cars342.jpg,DL7C N 5617
Cars343.jpg,SKIPGAS
Cars355.jpg,Ovdu
Cars370.jpg,CHO1AnOOOI
Cars393.jpg,M
Cars396.jpg,EREAPBR
Cars401.jpg,HR 26 BC 5514
Cars415.jpg,MF1?NE 8922
Cars416.jpg,172
Cars4192.jpg,Mhil
Cars42.jpg,BHX: 135
Cars422.jpg,MH
Cars423.jpg,P3RV P
Cars77.jpg,tR 26CU6799
Cars8.jpg,6526 JHD
Cars84.jpg,HR 26 BC 5s14
Cars85.jpg,[Vu63617
Cars86.jpg,A
